county;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
WELLS;0.3815323;16396;790.009.758;185.655.038;558.672.847;25464;98.134.731;557.257.304;661.065.969;443.388.757;749.419.954;1;ALU
WHITE;0.1934236;15292;778.773.215;165.838.347;516.609.992;22974;987.491.941;770.436.145;813.656.669;616.872.291;110.403.397;0;AAR
WHITLEY;0.14104372;17369;788.761.587;15.809.776;422.016.236;27251;985.533.977;522.549.631;612.323.492;390.956.194;795.652.174;1;ALU
ALCONA;0.09857072;7368;68.553.203;141.150.923;324.375.679;10040;989.650.074;17.250.996;272.045.028;166.173.986;115.069.357;0;AAR
ALGER;0.10031208;6009;730.237.976;162.755.866;382.759.195;8452;942.041.908;144.817.795;192.080.109;123.091.161;139.679.255;0;AAR
ALLEGAN;148.824.979;55740;744.384.643;180.660.208;403.659.849;88882;982.023.887;949.798.609;118.957.846;793.385.737;104.949.449;1;AAU
ALPENA;0.0653488;20165;73.597.818;189.337.962;423.010.166;30329;990.981.866;134.755.515;170.423.241;121.669.518;122.930.256;0;AAR
ANTRIM;0.17596921;12185;763.807.961;19.039.803;501.436.192;17942;986.637.338;132.148.033;187.581.416;120.375.423;968.128.445;0;AAR
ARENAC;0.32817628;9782;653.956.246;118.278.471;258.638.315;14664;982.117.742;206.492.089;289.513.678;182.323.366;160.544.649;0;LHR
BARAGA;0.07543374;5166;704.800.619;145.760.743;336.817.654;7700;968.066.382;168.181.818;223.873.442;142.559.291;158.131.683;0;AAR
BARRY;0.38356274;31892;782.641.415;172.519.754;386.303.775;49091;980.702;907.498.319;116.531.558;800.437.796;827.717.737;0;AAR
BAY;141.421.193;71684;739.872.217;182.258.245;366.190.503;110453;9.886.326;125.302.165;175.860.997;109.708.597;998.930.263;1;AAU
BENZIE;0.28688525;8333;766.470.659;214.208.568;468.018.721;12077;989.918.033;128.591.538;186.411.745;113.047.574;103.274.559;0;AAR
BERRIEN;0.66613789;102485;747.270.332;23.742.011;630.140.996;158312;981.001.128;147.057.709;22.975.087;11.852.965;109.998.965;1;AAU
BRANCH;0.34215219;26446;737.880.965;16.066.702;351.281.857;39759;958.002.024;140.848.613;208.565.121;116.031.599;10.717.385;0;AAR
CALHOUN;0.80745981;86623;768.387.149;214.885.192;476.778.685;131766;968.995.897;142.920.025;213.346.103;12.370.767;957.053.103;1;AAU
CASS;0.5356024;31841;722.778.807;158.443.516;342.639.992;48946;989.267.741;118.824.827;177.992.278;957.841.732;102.969.621;0;AAR
CHARLEVOIX;0.18166574;13963;796.963.403;226.527.251;506.338.179;21250;989.845.351;103.952.941;138.431.922;811.281.337;120.059.289;0;AAR
CHEBOYGAN;0.05140667;14207;735.412.121;146.477.089;301.259.942;21097;985.933.265;155.614.542;21.159.054;133.028.806;141.585.593;0;AAR
CHIPPEWA;0.27453474;21848;735.948.371;169.397.657;380.812.889;29486;852.098.023;170.759.004;209.559.748;161.035.046;143.391.521;0;AAR
CLARE;0.13626162;16401;669.105.542;120.419.487;276.812.389;24522;982.766.912;237.134.002;35.978.586;221.719.457;135.634.167;0;LHR
CLINTON;0.95192025;35745;836.844.314;228.647.363;494.614.631;57463;992.743.984;601.778.536;736.650.485;498.168.716;771.621.622;1;HLU
CRAWFORD;0.05709625;8057;732.034.256;187.787.018;498.945.017;11569;943.637.847;145.907.166;208.293.153;128.239.203;109.926.169;0;AAR
DELTA;0.09793542;24476;768.875.633;18.912.404;352.590.293;37242;985.759.661;146.125.342;18.591.133;13.127.551;131.073.145;0;AAR
DICKINSON;0.13044613;17972;785.221.456;204.206.544;380.035.611;26455;985.986.359;98.998.299;122.511.263;71.444.387;134.107.884;0;AAR
EATON;110.143.305;58205;855.304.527;269.787.819;614.723.821;91580;986.014.061;681.371.478;891.257.154;570.213.714;735.389.086;1;HLU
EMMET;0.13178914;16448;81.535.749;268.725.681;649.319.066;24581;981.669.329;851.470.648;102.641.509;711.646.468;101.717.902;0;HAR
GENESEE;0.81703484;265430;767.660.023;201.454.244;480.201.936;425331;988.087.135;164.631.781;252.357.066;1.384.395;970.689.451;1;AAU
GLADWIN;0.13244428;14388;648.040.033;114.331.387;220.322.491;21641;988.354.037;223.233.677;331.810.193;201.047.987;149.024.246;0;LHR
GOGEBIC;0.07755373;12497;762.743.058;211.730.815;335.280.467;17385;963.051.185;148.806.442;195.447.798;135.987.339;13.257.945;0;AAR
GRAND TRAVERSE;0.18981532;41094;84.861.537;309.753.249;70.253.565;62872;978.202.356;854.911.566;112.048.541;749.803.127;769.153.931;0;HAR
GRATIOT;150.069.263;23966;770.675.123;164.441.292;420.595.844;36654;940.280.129;140.803.187;191.593.729;124.962.511;107.022.876;0;AAR
HILLSDALE;0.33156041;26657;75.211.014;164.684.698;414.900.401;42138;970.228.639;128.031.705;164.067.013;112.972.735;11.509.408;0;AAR
HOUGHTON;0.1579868;20646;739.416.836;247.650.877;732.829.604;32448;91.542.064;210.367.357;211.989.796;236.971.485;145.784.943;0;AHR
HURON;0.43775572;22798;679.928.064;143.082.727;308.799.017;34484;986.638.437;150.098.596;179.445.876;134.359.815;149.548.881;0;LAR
INGHAM;262.103.068;158966;838.676.195;367.600.619;128.599.826;261491;927.562.502;166.181.628;189.472.436;170.660.584;93.982.718;1;HAU
IONIA;0.94521605;33466;772.156.816;15.116.835;340.046.614;51695;90.654.812;113.299.159;149.650.878;934.628.975;111.096.292;0;AAR
IOSCO;0.37737098;19194;763.155.153;162.342.399;363.134.313;29106;963.487.702;141.585.927;185.825.964;122.557.611;132.756.867;0;AAR
IRON;0.0683112;9594;729.726.913;154.575.777;328.330.206;12886;978.064.516;171.193.543;233.241.189;144.561.646;165.122.357;0;AAR
ISABELLA;0.55103984;26492;797.448.286;272.497.358;100.030.198;48498;887.851.494;248.546.332;212.696.866;284.791.467;13.966.294;0;AHR
JACKSON;0.60631961;97049;776.916.815;212.057.826;408.144.339;140520;938.326.344;120.132.365;171.500.264;101.758.057;99.349.205;1;AAU
KALAMAZOO;0.85940263;134684;834.241.632;345.571.857;108.520.685;212670;95.192.269;134.748.672;161.371.424;135.013.362;863.585.267;1;HAU
KALKASKA;0.21486256;8485;696.169.711;114.555.097;238.067.177;13321;986.960.065;142.256.587;172.608.361;125.250.501;142.446.634;0;AAR
KENT;161.176.595;305356;802.882.537;286.383.762;646.131.073;489425;977.616.248;915.135.108;124.240.562;778.036.993;809.425.626;1;HAU
KEWEENAW;0.1175779;1287;643.356.643;144.522.145;357.420.357;1696;997.060.553;205.778.302;218.844.985;212.765.957;190.243.902;0;LHR
LAKE;0.11650938;5931;61.288.147;113.134.379;200.640.701;8387;977.164.162;264.099.201;376.986.038;250.707.123;188.764.973;0;LHR
LAPEER;0.84929382;45437;776.019.544;161.542.355;32.572.573;73344;980.954.419;819.289.921;108.173.406;689.849.757;7.908.968;1;AAU
LEELANAU;0.34489018;11127;85.099.308;325.963.872;825.918.936;16422;99.364.676;900.621.118;128.336.041;704.916.163;920.502.092;0;HAR
LENAWEE;320.630.548;56323;763.258.349;187.880.617;458.604.833;87535;956.917.661;104.015.537;139.918.186;862.787.596;100.333.983;1;AAU
LIVINGSTON;0.19110208;72343;855.687.489;275.866.359;647.747.536;114160;987.158.978;413.104.415;529.198.774;322.646.163;605.403.732;1;HLU
LUCE;0.10411244;3811;695.880.346;144.056.678;333.245.867;5566;965.816.415;176.787.639;229.434.447;168.765.743;128.350.934;0;AHR
MACKINAC;0.11242271;7156;713.806.596;152.878.703;278.088.317;10570;990.256.699;164.049.196;222.423.146;149.934.567;129.071.661;0;AAR
MACOMB;0.21787009;472323;769.287.119;206.866.911;443.001.929;710217;989.987.455;519.306.071;735.610.433;410.136.736;595.219.197;1;ALU
MANISTEE;0.55019986;14619;73.295.027;162.528.217;339.284.493;21000;987.538.208;176.238.095;259.354.583;153.846.154;141.412.138;0;AAR
MARQUETTE;0.29483544;42386;817.722.833;26.763.554;67.994.149;66398;936.673.861;126.088.135;142.621.599;1.184.465;12.523.891;0;HAR
MASON;0.63437365;16796;761.252.679;185.401.286;406.644.439;25147;984.728.042;140.613.194;200.209.958;124.061.605;107.592.659;0;AAR
MECOSTA;0.39133698;19005;777.426.993;250.460.405;784.530.387;32627;874.530.932;250.681.951;255.436.141;282.299.641;131.685.725;0;AHR
MENOMINEE;0.02808989;16514;74.282.427;15.084.171;265.229.502;24562;985.634.029;127.514.046;140.686.721;113.086.771;14.551.258;0;AAR
MIDLAND;0.43356995;47213;832.440.218;356.088.365;111.854.786;74135;979.960.609;110.851.824;145.056.449;101.340.285;830.024.213;1;HAU
MISSAUKEE;0.24697456;7628;693.890.928;13.280.021;239.905.611;11973;985.675.475;172.889;237.570.621;1.507.431;132.467.532;0;AAR
MONROE;0.58757485;82291;740.882.964;174.296.096;400.529.827;132283;990.142.216;86.398.101;119.992.591;677.596.351;938.262.438;1;AAU
MONTCALM;0.64456548;32959;733.851.148;14.160.017;293.698.231;50918;959.648.693;153.187.478;191.582.873;136.934.028;137.735.631;0;AAR
MONTMORENCY;0.17905103;6279;675.903.806;134.575.569;27.552.158;8803;985.116.383;175.167.557;268.328.446;162.082.515;124.022.346;0;LAR
MUSKEGON;0.96991502;99720;742.468.913;190.433.213;344.965.905;154086;969.197.965;152.551.173;230.023.063;127.038.182;103.740.797;1;AAU
NEWAYGO;163.604;23989;710.742.424;156.946.934;384.759.682;37725;987.513.743;158.807.157;213.676.748;131.306.466;14.869.186;0;AAR
OAKLAND;0.58869021;717210;846.344.864;369.635.114;11.220.563;1070844;988.235.424;604.364.408;845.200.666;494.988.864;647.730.339;1;HLU
OCEANA;397.701.968;14069;733.172.223;169.024.096;391.641.197;22156;986.728.423;178.868.027;246.226.559;153.972.083;140.566.274;0;AHR
OGEMAW;0.08029549;12379;630.341.708;116.568.382;273.850.876;18364;983.030.887;217.545.197;305.464.927;199.889.197;156.257.046;0;LHR
ONTONAGON;0.03388299;6198;745.724.427;159.567.602;266.214.908;8712;983.962.051;131.887.052;16.516.374;118.080.357;12.8;0;AAR
OSCEOLA;0.14891294;12491;720.598.831;136.658.394;264.190.217;19853;98.545.617;185.463.154;24.083.319;162.693.393;162.198.036;0;AHR
OSCODA;0.16577404;5433;665.746.365;129.210.381;268.728.143;7718;984.187.707;178.025.395;243.506.494;170.002.669;135.186.057;0;LHR
OTSEGO;0.0946706;11358;794.506.075;200.211.305;443.740.095;17682;984.685.638;946.725.484;114.552.313;7.837.492;11.080.502;0;AAR
OTTAWA;213.401.645;110737;797.709.889;269.656.935;615.963.951;181937;96.894.572;59.866.877;629.788.172;589.117.375;568.246.591;1;ALU
PRESQUE ISLE;0.08004075;9285;656.758.212;138.933.764;327.409.801;13627;991.559.339;146.987.598;166.811.468;125.114.434;167.679.558;0;LAR
ROSCOMMON;0.09101942;14435;693.869.068;13.363.353;281.260.824;19602;991.201.456;180.542.802;260.370.913;179.957.969;130.744.236;0;AHR
SAGINAW;352.920.083;131154;748.128.155;197.081.294;448.709.151;208790;985.109.415;172.489.104;262.936.776;145.334.371;108.787.742;1;AAU
ST CLAIR;0.75957887;91241;748.008.023;17.641.192;407.711.446;144101;989.657.091;109.326.098;150.850.124;930.644.722;942.984.334;1;AAU
ST JOSEPH;0.28516626;36757;737.601.001;170.117.257;381.423.946;58033;98.506.272;114.917.375;166.746.699;977.610.991;822.842.179;0;AAR
SANILAC;0.97926267;25404;721.461.187;137.970.398;311.368.288;39486;988.930.074;142.962.063;187.488.829;119.235.869;141.056.347;0;AAR
SCHOOLCRAFT;0.09636232;5643;715.931.242;145.667.198;276.448.698;8218;989.881.956;166.098.807;207.288.216;153.212.121;148.989.899;0;AAR
SHIAWASSEE;0.53174717;43097;787.456.203;172.912.268;34.712.393;69020;989.250.394;105.882.353;145.300.886;905.735.814;888.030.888;0;AAR
TUSCOLA;0.75318029;34607;729.505.591;141.243.101;25.572.861;54175;976.161.303;128.583.295;172.158.102;114.048.489;100.748.013;0;AAR
VAN BUREN;188.124.465;43758;718.405.777;178.047.443;448.146.625;69093;986.197.545;151.332.262;210.408.367;124.853.114;134.497.364;1;AAU
WASHTENAW;0.7164139;167214;87.209.803;480.785.102;207.913.213;261261;923.389.306;121.629.329;107.978.164;134.554.559;717.477.744;1;HAU
WAYNE;0.98589422;1324635;699.515.716;194.104.036;498.575.079;2084529;987.139.193;200.653.001;3.056.427;170.662.258;132.473.501;1;AHU
WEXFORD;0.07966616;16597;746.158.944;182.322.106;359.703.561;26038;987.784.522;146.401.413;201.308.237;124.565.469;12.323.275;0;AAR
ADAMS;0.05912262;15569;583.852.527;874.173.036;215.813.475;25028;986.480.627;285.280.486;350.246.846;257.522.586;261.800.599;0;LHR
ALLEN;0.44736003;68893;761.499.717;173.660.604;347.930.849;104543;952.512.414;126.665.583;178.579.862;105.679.214;107.444.235;1;AAU
ASHLAND;0.08630307;29403;760.024.487;172.669.455;415.943.951;45486;957.458.901;113.441.498;172.289.909;915.943.446;867.428.431;0;AAR
ASHTABULA;0.67320504;63850;723.790.133;132.435.395;288.332.028;97541;977.159.115;16.117.325;238.186.247;136.699.531;119.077.683;1;AAU
ATHENS;0.28044132;30179;746.114.848;291.494.085;120.447.994;51002;856.471.141;286.733.854;292.581.157;317.442.813;143.249.554;0;AHR
AUGLAIZE;0.15027476;27676;764.561.353;161.764.706;324.468.854;43911;984.882.808;626.949.967;814.294.535;528.379.951;608.875.129;1;ALU
BELMONT;0.05065143;48645;723.424.812;141.576.729;322.746.428;69952;984.213.636;174.190.874;25.849.973;157.629.051;125.753.241;1;AAU
BROWN;0.04289882;21769;649.088.153;114.336.901;31.742.386;34439;984.928.216;141.554.633;186.900.797;111.457.233;163.148.479;1;LAU
BUTLER;0.14237732;176989;759.736.481;242.252.343;675.917.712;279692;959.561.409;106.499.292;131.730.731;100.032.732;852.227.905;1;AAU
CARROLL;0.14328268;17124;715.253.445;11.323.289;307.171.222;26075;983.183.138;11.746.884;146.183.522;109.407.318;975.813.178;1;AAU
CHAMPAIGN;0.41089425;23023;753.898.276;139.121.748;28.971.029;35404;982.925.678;882.668.625;123.796.568;682.405.567;993.365.922;0;AAR
CLARK;0.22230054;93950;73.360.298;17.784.992;460.883.449;143046;969.487.895;134.166.632;204.814.416;11.095.735;104.346.131;1;AAU
CLERMONT;0.09388296;91613;727.833.386;196.893.454;45.528.473;148417;988.214.692;869.374.802;119.078.721;70.066.905;90.945.467;1;AAU
CLINTON;0.08753353;21969;743.320.133;157.631.208;377.349.902;34521;974.756.459;122.505.142;147.371.682;106.142.298;134.121.622;0;AAR
COLUMBIANA;0.0969744;70249;718.003.103;130.905.778;28.797.563;106943;987.688.869;158.916.432;232.200.959;136.442.561;120.377.504;1;AAU
COSHOCTON;0.03669518;22878;713.305.359;116.793.426;242.154.034;34833;983.233.127;13.188.643;17.751.112;111.867.496;121.505.376;0;AAR
CRAWFORD;0.15249634;30958;738.193.682;14.258.027;29.717.682;47189;985.773.971;115.916.845;15.418.153;101.218.333;104.140.383;1;AAU
CUYAHOGA;110.336.086;943924;740.130.561;250.853.882;735.673.635;1388547;983.292.733;137.661.167;215.809.764;116.755.057;10.213.391;1;AAU
DARKE;0.29467166;34048;734.580.592;13.475.094;321.898.496;52557;980.193.588;898.643.378;121.345.723;714.033.102;959.320.612;0;AAR
DEFIANCE;430.495.553;24362;767.670.963;181.881.619;344.388.802;38386;975.501.906;87.584.015;114.322.065;711.092.484;976.641.842;0;AAR
DELAWARE;0.19124744;41799;843.728.319;315.940.573;934.232.876;63986;95.602.803;567.311.599;65.723.747;452.441.077;906.414.817;1;HLU
ERIE;0.57177093;50112;762.392.241;187.380.268;463.761.175;75406;982.117.506;898.602.233;126.682.741;713.811.263;933.003.597;0;AAR
FAIRFIELD;0.12275157;65269;78.751.015;210.773.874;484.763.058;100916;975.401.359;877.759.721;116.821.249;69.252.938;105.373.526;1;AAU
FAYETTE;0.21481104;17854;652.850.902;118.740.898;214.517.755;26886;978.882.983;162.203.377;219.505.379;135.346.455;159.820.151;0;LAR
FRANKLIN;0.35259721;597303;809.987.561;32.204.593;914.092.178;935142;972.650.314;129.900.058;176.378.685;118.183.828;974.934.856;1;HAU
FULTON;288.066.913;23846;782.563.113;164.765.579;33.296.989;37995;986.934.386;622.976.707;758.154.831;493.982.309;81.255.161;1;ALU
GALLIA;0.11953221;19586;641.784.948;149.341.366;432.451.751;29824;963.494.217;224.885.998;284.607.819;197.789.588;217.653.936;0;LHR
GEAUGA;0.06039764;51290;820.413.336;316.279.977;912.263.599;80419;991.248.505;555.217.051;849.137.931;410.188.194;540.397.817;1;HLU
GREENE;0.37153242;83757;823.740.105;31.956.732;11.061.762;130134;95.175.198;949.098.621;120.735.213;87.175.598;788.356.241;1;HAU
GUERNSEY;0.07943829;25188;713.593.775;135.143.719;257.265.364;38112;976.629.766;174.721.872;243.214.731;150.734.936;143.717.608;0;AAR
HAMILTON;0.19729217;551233;756.496.799;297.883.109;86.172.272;846909;977.697.558;132.924.553;19.570.569;11.169.832;106.960.613;1;AAU
HANCOCK;134.429.932;41492;82.919.599;244.504.965;554.564.735;64198;97.958.374;727.748.528;845.006.003;651.807.196;793.665.845;0;HLR
HARDIN;0.10607181;18589;739.523.374;160.309.861;432.513.852;29111;935.714.056;163.821.236;21.816.574;149.368.203;125.945.537;0;AAR
HARRISON;0.06216972;10726;697.557.337;105.537.945;196.718.255;15808;982.778.987;196.988.866;293.435.341;182.995.358;119.607.843;0;AHR
HENRY;296.138.519;18245;754.343.656;152.589.751;265.826.254;28491;978.803.078;696.360.254;867.297.428;51.076.843;992.209.922;0;ALR
HIGHLAND;0.0447828;22784;664.808.638;123.112.711;249.297.753;35314;98.841.245;164.835.476;194.384.226;143.413.749;181.541.141;0;LAR
HOCKING;0.07833;16368;678.457.967;1.285.435;271.260.997;24857;973.524.459;157.098.604;207.745.956;134.820.216;149.915.234;0;LAR
HOLMES;0.07306158;17780;46.912.261;933.070.866;172.665.917;31830;968.979.269;172.447.377;245.171.128;123.522.422;153.579.391;0;LAR
HURON;0.75213371;34521;74.131.688;134.497.842;295.472.321;55535;987.464.438;950.391.645;130.375.596;802.076.192;816.840.178;0;AAR
JACKSON;0.08269931;19136;608.800.167;109.845.318;295.255.017;29874;988.223.619;241.882.573;301.736.614;210.996.006;241.633.681;0;LHR
JEFFERSON;0.13325363;54294;71.879.029;138.431.503;281.799.094;78510;977.732.945;171.494.077;262.505.981;157.419.355;108.577.511;1;AAU
KNOX;0.12006825;29992;752.000.533;16.771.139;42.011.203;44269;932.509.005;124.511.509;181.717.025;105.853.414;988.372.093;0;AAR
LAKE;0.18329551;142348;810.520.696;236.828.055;520.274.257;213036;988.570.713;489.729.435;714.098.582;393.348.514;490.623.387;1;HLU
LAWRENCE;0.04528253;39219;658.787.832;122.083.684;314.643.413;61007;986.625.481;235.399.216;332.300.024;211.064.359;163.875.266;1;LHU
LICKING;0.14029618;81642;764.251.243;181.793.685;453.565.567;124678;971.769.291;104.998.476;147.950.733;884.336.678;929.430.267;1;AAU
LOGAN;0.12290239;26780;744.884.242;133.233.757;333.457.804;41566;982.415.505;104.676.899;135.485;922.106.393;952.197.379;0;AAR
LORAIN;226.094.141;169492;752.820.192;188.616.572;4.283.978;265062;977.634.015;114.912.737;17.386.122;942.837.411;842.662.074;1;AAU
LUCAS;164.481.866;289965;762.340.282;235.504.285;600.589.726;454351;982.675.874;15.268.812;214.916.528;134.944.573;114.228.016;1;AAU
MADISON;0.28056545;23896;694.928.021;133.788.082;267.408.771;32904;887.665.911;84.275.468;112.765.492;712.069.334;811.343.048;1;AAU
MAHONING;0.97694161;176658;746.006.408;181.757.973;452.342.945;260264;982.847.821;159.196.047;250.271.849;138.501.553;107.028.532;1;AAU
MARION;0.28938607;41239;737.578.506;150.270.375;304.323.577;61526;957.245.543;127.133.244;182.830.355;107.493.876;100.189.036;0;AAR
MEDINA;0.11769129;76962;823.978.067;237.026.065;488.552.792;121055;989.383.265;552.063.112;785.156.137;421.102.969;632.405.892;1;HLU
MEIGS;0.05220342;14772;640.265.367;11.677.498;238.288.654;22665;985.992.082;260.092.654;349.729.464;236.672.906;199.579.341;0;LHR
MERCER;0.28648936;23780;754.793.944;141.000.841;332.632.464;38961;987.779.834;670.414.004;762.704.884;568.931.069;804.411.765;0;ALR
MIAMI;0.12878024;59893;765.665.437;192.777.119;443.457.499;92127;988.678.071;835.151.476;123.240.006;630.440.618;891.394.114;1;AAU
MONROE;0.01935859;10196;694.488.035;10.513.927;259.905.845;15276;985.739.175;214.912.281;28.809.219;186.889.987;197.591.146;0;AHR
MONTGOMERY;0.25966829;371530;777.571.125;265.504.804;70.042.796;561952;97.933.633;126.286.587;194.520.723;106.043.371;944.086.822;1;AAU
MORGAN;0.16908553;8980;715.812.918;113.808.463;231.625.835;13924;980.977.878;212.079.862;31.325;179.487.179;148.148.148;0;AHR
MORROW;0.06847094;17158;713.253.293;121.051.405;254.691.689;27440;988.864.464;110.750.729;173.749.057;839.833.593;889.809.849;0;AAR
MUSKINGUM;0.13281669;51692;71.140.602;153.234.543;357.308.674;80009;974.911.049;147.208.439;213.569.812;126.231.667;11.137.507;0;AAR
NOBLE;0.03528582;7235;698.548.721;884.588.804;157.567.381;11176;985.885.674;163.743.737;227.357.901;128.071.997;164.845.173;0;AAR
OTTAWA;14.739.314;26931;758.568.193;19.338.309;421.447.403;39392;984.086.537;661.301.787;954.335.557;525.392.428;672.342.557;0;ALR
PAULDING;125.927.372;12456;722.302.505;114.884.393;282.594.733;20298;990.726.279;978.914.179;119.703.215;816.975.645;112.109.012;0;AAR
PERRY;0.07922173;19411;685.539.127;101.076.709;218.432.847;31255;990.430.016;190.657.495;253.889.985;163.782.957;167.218.221;0;AHR
PICKAWAY;0.26940213;31380;697.100.064;130.943.276;293.499.044;42392;878.499.637;120.777.505;163.463.189;994.214.435;124.391.393;1;AAU
PIKE;0.00824776;15099;607.722.366;124.445.328;323.862.507;23830;982.720.937;265.757.449;36.915.078;222.239.587;227.062.546;0;LHR
PORTAGE;0.13886454;82726;793.100.114;218.818.751;658.680.463;133447;935.911.912;119.088.477;133.814.451;121.537.341;797.863.462;1;AAU
PREBLE;0.07229576;25469;724.606.384;11.233.264;239.899.486;39614;987.560.143;101.883.173;15.565.561;812.505.639;824.067.022;0;AAR
PUTNAM;155.829.563;20028;775.064.909;157.080.088;28.060.715;33390;987.314.823;575.621.444;714.017.991;423.869.967;795.176.182;0;ALR
RICHLAND;0.2196025;81363;735.321.952;167.975.615;342.170.274;122328;969.802.675;112.517.167;164.937.951;89.708.687;106.330.901;1;AAU
ROSS;0.11539016;45531;675.803.299;141.156.575;299.795.744;63449;915.173.806;177.496.887;248.676.325;150.094.603;154.179.338;0;LHR
SANDUSKY;305.343.511;38993;766.163.157;162.824.097;340.061.037;60811;98.140.826;899.672.757;12.030.513;750.127.931;876.451.954;0;AAR
SCIOTO;0.10083783;51585;637.569.061;137.772.608;317.534.167;76736;955.295.231;257.923.269;376.523.745;235.231.677;151.068.091;0;LHR
SENECA;127.735.088;36666;752.604.593;156.221.022;303.005.509;57655;965.211.859;107.518.862;143.172.859;929.836.624;927.675.988;0;AAR
SHELBY;0.15362351;27365;72.943.541;173.762.105;366.892.015;44127;98.245.575;774.582.455;1.054.634;595.581.568;873.122.118;0;AAR
STARK;0.17220507;241153;760.090.067;189.896.041;462.030.329;359231;977.273.284;110.605.711;16.399.197;951.066.888;845.844.662;1;AAU
SUMMIT;0.16485757;337442;783.393.887;247.331.393;625.529.721;506100;982.737.529;121.499.704;180.813.265;108.654.209;822.432.118;1;AAU
TRUMBULL;0.15934121;149822;752.492.958;155.998.451;378.849.568;225230;988.661.753;114.047.862;169.653.149;938.910.671;985.596.375;1;AAU
TUSCARAWAS;0.04162207;55192;719.180.316;130.834.179;302.036.527;82852;985.277.679;111.222.421;1.439.584;978.198.126;104.047.334;1;AAU
UNION;0.15327348;20527;761.631.023;169.825.108;384.858.966;30117;942.068.879;743.101.903;946.814.728;577.602.449;976.408.912;0;AAR
VAN WERT;0.86003151;19497;792.327.025;151.100.169;31.902.344;30007;984.998.687;709.167.861;760.100.707;606.022.585;922.109.675;0;ALR
VINTON;0.03604253;6963;586.959.644;791.325.578;156.541.721;10937;985.492.882;236.079.364;317.708.333;222.259.753;149.176.955;0;LHR
WARREN;0.09656831;73151;754.671.843;244.193.518;590.832.661;109393;960.354.318;635.232.602;871.549.016;507.858.441;722.380.639;1;ALU
WASHINGTON;0.08834774;40411;775.061.246;190.096.756;435.524.981;60627;973.865.133;136.737.757;179.894.516;120.116.635;126.052.655;1;AAU
WAYNE;0.10644484;62178;735.967.706;184.454.309;479.590.852;98285;968.697.332;116.558.987;172.130.572;951.515.592;891.176.271;0;AAR
WILLIAMS;10.661.327;23340;76.092.545;144.987.147;270.779.777;36499;987.633.943;755.363.161;106.865.843;592.573.754;744.215.134;0;AAR
WOOD;138.872.948;64052;837.616.312;290.951.102;833.541.498;104553;923.050.437;105.726.282;876.044.005;122.235.902;693.142.742;1;HAU
WYANDOT;0.2786016;14361;764.709.978;137.107.444;254.856.904;21743;977.037.836;849.468.795;999.170.124;731.604.292;976.552.435;0;AAR
ADAMS;0.79709221;11378;669.801.371;124.274.917;239.057.831;14534;926.795.052;144.351.177;223.008.305;133.100.559;101.867.572;0;LAR
ASHLAND;0.10424971;10262;753.069.577;183.200.156;436.562.074;15573;954.988.655;162.203.814;203.220.685;151.600.512;132.975.552;0;AAR
BARRON;0.14723926;26198;729.750.363;19.425.147;324.452.248;39931;97.990.184;115.524.279;144.092.998;994.820.158;117.280.176;0;AAR
BAYFIELD;0.05711022;9418;785.410.915;258.228.923;583.988.108;13833;987.507.139;165.835.321;234.879.306;144.289.143;132.549.788;0;AAR
BROWN;0.29291756;120575;826.439.975;262.931.785;462.450.757;189369;973.149.224;916.570.294;120.873.618;808.561.665;796.336.775;1;HAU
BUFFALO;0.05153121;8918;726.059.655;179.412.424;313.971.743;13337;981.816.843;119.067.257;152.720.243;963.907.813;131.345.403;0;AAR
BURNETT;0.0687863;9045;722.830.293;136.760.641;299.613.046;12816;979.516.967;154.884.519;210.293.653;139.379.475;131.688.466;0;AAR
CALUMET;0.09623516;20940;796.561.605;197.803.247;301.337.154;33952;990.114.024;487.158.341;622.784.325;372.723.875;639.097.744;1;ALU
CHIPPEWA;0.09358289;33195;749.269.468;181.533.363;278.957.674;50983;973.701.299;10.476.041;139.566.861;859.508.956;10.579.373;1;AAU
CLARK;0.16431257;19702;675.362.907;1.384.631;250.228.403;30947;977.881;137.719.327;180.444.728;114.184.117;130.776.485;0;LAR
COLUMBIA;0.23066004;29637;782.535.344;20.852.313;354.624.287;43744;970.191.625;749.359.912;998.292.058;591.446.379;83.589.919;0;AAR
CRAWFORD;0.10664994;10169;723.964.992;16.599.469;292.064.116;15562;976.286.073;146.382.213;194.600.675;123.815.621;134.865.437;0;AAR
DANE;0.56935042;225973;888.986.737;436.264.509;134.715.209;351558;957.701.895;104.930.054;876.778.118;121.680.107;497.435.064;1;HAU
DODGE;0.39838556;49694;722.783.435;159.254.638;282.327.846;72840;951.423.085;664.470.071;839.387.394;517.740.489;825.578.798;0;ALR
DOOR;0.19073569;17369;795.670.447;224.883.413;442.167.079;25318;985.519.657;982.305.079;13.938.754;82.382.666;865.316.276;0;AAR
DOUGLAS;0.15086929;27060;772.172.949;209.940.872;497.782.705;40426;968.101.921;149.210.904;229.435.598;131.049.683;924.704.418;1;AAU
DUNN;0.22278537;19755;776.613.516;262.870.159;750.696.026;32837;914.450.416;166.336.754;151.954.674;186.613.878;118.962.601;0;AAR
